Clause ,Title,"Clause
 Date",Acceptance Status*,Acceptance Criteria and Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,
OLD,Supply Chain Risk.,Feb 2019,Remove,"In all solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, for information technology, whether acquired as a service or as a supply, that is a covered system, is a part of a covered system, or is in support of a covered system.","Information Technology is defined at DFARS 252.239-7018(a) to include ""any equipment, or interconnected system(s) or subsystem(s) of equipment, that is used in the automatic acquisition, storage, analysis, evaluation, manipulation, management, movement, control, display, switching, interchange, transmission, or reception of data or information by the agency.""  Virginia Tech will be executing research efforts and will not be delivering information technology supplies as defined within this clause.  Therefore, it is respectfully requested for this clause to be removed.  ",,02/16/19 CDC,,,239.7306(b),
,,,,,,,,,,,
252.242-7000,Reserved,,,,,,,,,,
252.242-7004,Material Management and Accounting System,May 2011,REMOVE,"The prescription states that this clause is required in the acquisition of non-commercial items when the contract value exceeds the simplified acquisition threshold and is not awarded to a small business, educational institution, or nonprofit organization.  

Since Virginia Tech is an educational institution, it is exempt from the requirements of this clause.  Suggest requesting the removal of this clause from resulting awards.",,Not required in clause or prescription,"03/20/23 CDC
12/6/14 CDC
02/09/10 LDC",no,,242.7204,
252.242-7005,Contractor Business Systems,Feb 2012,REMOVE,"Use the clause at 252.242-7005, Contractor Business Systems, in solicitations and contracts (other than in contracts with educational institutions, Federally Funded Research and Development Centers (FFRDCs), or University Associated Research Centers (UARCs) operated by educational institutions)... ","Request for removal, as this clause is not applicable to contracts with educational institutions.  ",,"03/20/23 CDC
12/16/17 CDC",,,242.7001,
252.242-7006,Accounting System Administration,Feb 2012,C,In cost reimbursable contracts or a contract with progress payments,,not required in clause or prescription,"07/18/14 CDC
11/12/12 LDC",no,,242.7503,
252.243-7001,Pricing of Contract Modifications,Dec 1991,C,For FP contracts.,,Not required in clause or prescription,"06/12/20 CDC
10/18/10 LDC",no,,243.205-70,
252.243-7002,Requests for Equitable Adjustment,Dec 2022,C,If contract exceed SAT.,,Not required in clause or prescription,"03/20/23 CDC
07/18/14 CDC
10/30/09 LDC",no,,243.205-71,
OLD,Requests for Equitable Adjustment,Dec 2012,C,If contract exceed SAT.,,Not required in clause or prescription,"07/18/14 CDC
10/30/09 LDC",no,,243.205-71,
252.244-7000,Subcontracts for Commercial Products or Commercial Services,Jan 2023,C,"In solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items.",This new version of the clause just corrects a numbering error in the clause.  ,"For commercial contracts, we only have to flow-down subcontractor clauses where the DFARS expressly requires it.","03/20/23 CDC
01/18/21 CDC
09/29/20 CDC
06/12/20 CDC
12/06/15 CDC
10/30/09 LDC",,,244.403,
OLD,Subcontracts for Commercial Items,Jan 2021,C,"In solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items.",This new version of the clause just corrects a numbering error in the clause.  ,"For commercial contracts, we only have to flow-down subcontractor clauses where the DFARS expressly requires it.","01/18/21 CDC
09/29/20 CDC
06/12/20 CDC
12/06/15 CDC
10/30/09 LDC",,,244.403,
OLD,Subcontracts for Commercial Items,Oct 2020,C,"In solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items.",This new version of the clause just addresses supplies used across multiple contracts.,"For commercial contracts, we only have to flow-down subcontractor clauses where the DFARS expressly requires it.","09/29/20 CDC
06/12/20 CDC
12/06/15 CDC
10/30/09 LDC",,,244.403,
OLD,Subcontracts for Commercial Items,Jun 2013,C,"In solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items.",,"For commercial contracts, we only have to flow-down subcontractor clauses where the DFARS expressly requires it.","06/12/20 CDC
12/06/15 CDC
10/30/09 LDC",,,244.403,
OLD,Subcontracts for Commercial Items and Commercial Components ,Dec 1991,REMOVE,"If contract includes any of the following clauses:  252.225-7014, 252.246-7003, 252.247-7023, 252.247-7024",,Yes - for contracts for commercial items only,10/30/09 LDC,,,244.403,
252.244-7001,Contractor Purchasing System Administration - Basic,May 2014,C,"Include if contract also includes FAR 52.244-2, Subcontracts.",,not required in clause or prescription,07/18/14 CDC,no,,244.305-71,
252.245-7000,"Government Furnished Mapping: Charting, and Geodesy Property",Apr 2012,C,"In contracts when mapping, charting or geodesy property is to be furnished",,not required in clause or prescription,10/20/13 CDC,,,245.107(1),
252.245-7001,"Tagging, Labeling and Marking of Government Property",Apr 2012,C,If 52.245-1 is included,,not required in clause or prescription,"03/28/14 CDC
1/19/12 LDC",no,,245.107,
252.245-7002,Reporting Loss of Government Property,Jan 2021,C,If 52.245-1 is included.  This newer version of the clause updates the reporting location for lost property to the new Government-Furnished Property module in the Procurement Integrated Enterprise Environment (PIEE). ,,not required in clause or prescription,"08/20/18 CDC
03/28/14 CDC
1/19/12 LDC",no,,245.107(C) ,
OLD,Reporting Loss of Government Property,Dec 2017,C,If 52.245-1 is included,,not required in clause or prescription,"08/20/18 CDC
03/28/14 CDC
1/19/12 LDC",no,,245.107(C) ,
252.245-7003,Contractor Property Management System Administration,Apr 2012,C,If 52.245-1 is included,,not required in clause or prescription,"03/28/14 CDC
09/21/12 LDC",no,,245.107(4),
252.245-7004,"Reporting, Reutilization, and Disposal",Dec 2017,C,"If 52.245-1 is included

Notify Exports.  Includes discussion of ""export-controlled items""",,not required in clause or prescription,"03/20/23 CDC
12/06/15 CDC
03/28/14 CDC",no,,245.107(5),
OLD,RESERVED,REMOVE,,DFARS 252.746-7000 has been removed and marked Reserved.  ,,,12/27/18 CDC,,,,
OLD,Material Inspection and Receiving Report,Mar 2008,C,Use when there will be separate and distinct deliverables.  ,DFARS 246.370 (b)(5) says this clause in not required in R&D contracts not requiring the delivery of separately priced end items.  It also states at 246.370(b)(4) that the clause is not required when the deliverable is a scientific or technical report.  ,not required in clause or prescription,"12/06/14 CDC
6/07/12 LDC",yes,,246.370,
252.246-7001,Warranty of Data - Basic,Mar 2014,REMOVE,"If 252.227-7013, Rights in Technical Data and Computer Software is included and when there is a need ""for greater protection or period of liability"" that is provided by warranty clause from FAR part 46.
Alt I for FP incentive
Alt II for firm fixed price","DFARS 252.246-7001, Warranty of Data (Mar 2014).
This DFARS clause is prescribed under DFARS Part 246, Quality Assurance.  DFARS 252.246-7001, Warranty of Data, includes a warranty period of three years for any Technical Data/Computer Software delivered. It is understood that Virginia Tech is a state agency of the Commonwealth of Virginia as well as a nonprofit, public educational institution.  The university is executing cutting edge research efforts, for which Quality Assurance requirements for DFARS Part 246 would not apply.  Due to the nature of Virginia Tech's efforts as well as its status, this clause should not apply and it is respectfully requested that it is removed for clarity.  Thank you.
",,"06/12/20 CDC
04/22/2014 CDC",no,,246.710(1),
252.246-7003,Notification of Potential Safety Issues,Jan 2023,REMOVE,"In solicitations and contracts, including solicitations and contracts  for the acquisition of (1)  Repairable or consumable parts identified as critical safety items;  (2)  Systems and subsystems, assemblies, and subassemblies integral to a system; or  (3)  Repair, maintenance, logistics support, or overhaul services for systems and subsystems, assemblies, subassemblies, and parts integral to a system.","This clause is prescribed at DFARS 246.370(a) to be used in contracts for the acquisition of:

  (1)  Repairable or consumable parts identified as critical safety items; (2)  Systems and subsystems, assemblies, and subassemblies integral to a system; or  (3)  Repair, maintenance, logistics support, or overhaul services for systems and subsystems, assemblies, subassemblies, and parts integral to a system.

Since Virginia Tech is executing research efforts, it is respectfully requested for this clause to be removed.  ",,"03/20/23 CDC
12/27/18 CDC",,,246.370(a),
OLD,Notification of Potential Safety Issues,Dec 2018,REMOVE,"In solicitations and contracts, including solicitations and contracts  for the acquisition of (1)  Repairable or consumable parts identified as critical safety items;  (2)  Systems and subsystems, assemblies, and subassemblies integral to a system; or  (3)  Repair, maintenance, logistics support, or overhaul services for systems and subsystems, assemblies, subassemblies, and parts integral to a system.","This clause is prescribed at DFARS 246.370(a) to be used in contracts for the acquisition of:

  (1)  Repairable or consumable parts identified as critical safety items; (2)  Systems and subsystems, assemblies, and subassemblies integral to a system; or  (3)  Repair, maintenance, logistics support, or overhaul services for systems and subsystems, assemblies, subassemblies, and parts integral to a system.

Since Virginia Tech is executing research efforts, it is respectfully requested for this clause to be removed.  ",,12/27/18 CDC,,,246.370(a),
